nume_actiune,timestamp
get_all_restaurants,2026-05-26T19:18:31
find_by_name,2026-05-26T19:19:14
get_all_restaurants,2026-05-26T19:19:14
find_by_name,2026-05-26T19:23:03
get_all_restaurants,2026-05-26T19:23:03
get_all_users,2026-05-26T19:23:17
find_by_name,2026-05-26T19:23:37
get_all_restaurants,2026-05-26T19:23:37
get_all_users,2026-05-26T19:25:10
find_by_name,2026-05-26T19:25:29
get_all_restaurants,2026-05-26T19:25:29
find_by_name,2026-05-26T19:25:38
get_all_restaurants,2026-05-26T19:25:38
placing_order,2026-05-26T19:26:11
get_all_restaurants,2026-05-27T18:43:23
get_all_restaurants,2026-05-27T18:43:23
get_all_restaurants,2026-05-27T18:43:23
get_all_restaurants,2026-05-27T18:43:23
get_all_restaurants,2026-05-27T18:43:23
get_all_restaurants,2026-05-27T18:43:24
get_all_restaurants,2026-05-27T18:43:24
get_all_restaurants,2026-05-27T18:43:24
get_all_restaurants,2026-05-27T18:43:24
get_all_users,2026-05-27T18:57:54
find_by_name,2026-05-27T18:58:14
get_all_restaurants,2026-05-27T18:58:14
placing_order,2026-05-27T18:58:44
